ID,Sire,Dam,Sex,Cand,Inbreeding
G600B339,G500A475,G500C612,Male,0,0
G600C802,G500A300,G500C355,Male,0,0
G600C929,G500A511,G500A004,Male,0,0
G600D971,G500A482,G500A839,Male,0,0
G600E539,G500A664,G500A563,Male,0,0
G600E852,G500A848,G500A624,Female,0,0
G600F266,G500A475,G500C612,Female,0,0
G600H419,G500A938,G500A167,Female,0,0
G600H604,G500C583,G500A380,Female,0,0
G600I438,G500A990,G500A808,Male,0,0
G600I975,G500C591,G500C231,Male,0,0
G600J134,G500A256,G500C185,Female,0,0
G600J576,G500A938,G500A843,Male,0,0
G600J858,G500A060,G500C423,Female,0,0
G600K462,G500C317,G500C450,Female,0,0
G600A417,G500C561,G500C032,Female,0,0
G700A411,G600D971,G600J134,Female,0,0
G700A903,G600E539,G600K462,Male,0,0
G700B434,G600C802,G600H419,Female,0,0
G700C161,G600J576,G600E852,Male,0,0
G700C808,G600I975,G600F266,Male,0,0
G700D544,G600B339,G600J858,Female,0,0
G700F588,G600C929,G600A417,Female,0,0
G700G965,G600I438,G600H604,Male,0,0
G800B620,G700C161,G700A411,Male,0,0
G800B771,G700G965,G700D544,Female,0,0
G800D697,G700A903,G700B434,Female,0,0
G800L886,G700C808,G700F588,Male,0,0
G900E185,G800L886,G800D697,Female,0,0
G900B326,G800B620,G800B771,Male,0,0
G010D804,G900B326,G900E185,Female,1,0
